28
0,-308.00,103.00
1,-312.00,84.00
2,-313.00,59.00
3,-404.89,-169.88
4,-395.89,-177.88
5,-367.89,-177.88
6,-354.89,-174.88
7,-327.89,-155.88
8,-303.89,-131.88
9,-286.89,-113.88
10,-286.89,-113.88
11,-254.89,-117.88
12,-231.89,-121.88
13,-226.89,-121.88
14,-110.89,-76.88
15,-229.74,-124.73
16,-212.74,-121.73
17,-165.74,-106.73
18,-118.74,-60.73
19,-90.74,-55.73
20,-55.74,-54.73
21,-5.74,-59.73
22,15.26,-62.73
23,25.26,-75.73
24,50.26,-105.73
25,100.26,-115.73
26,161.26,-126.73
27,224.26,-144.73
